Date modified,รหัสสินค้า,ชื่อสินค้า,ชื่อร้านค้า,CommissionRate,CommissionAmount,ลิงก์สินค้า,ลิงก์ข้อเสนอ,PriceDisplay,SoldDisplay,PriceValue,SoldValue,SoldBucket,SoldScore,PriceBucket,PriceScore,CommissionBucket,CommissionScore,MiniBossScore
19/07/2026 11:35,55463371418,แผ่นรองเมาส์ลายพาสเทลน่ารัก ขนาด 35x80 ซม. แผ่นรองโต๊ะคีย์บอร์ด กันน้ำ กันลื่น ผิว PU เช็ดทำความสะอาดง่าย สีฟ้าคิวท์,ธารารัตน์_,0.09,8.01,https://shopee.co.th/product/548332700/55463371418,https://s.shopee.co.th/9AN94LrQJM,89,17,89,17,<100,1,Budget,5,Normal,2,2.35
19/07/2026 11:35,47511282041,คีย์แคป MOA Hello Kitty McDonald's สำหรับคีย์บอร์ด Mechanical Cherry MX คีย์แคปเรซินสวยๆ ของขวัญน่ารัก,ร้าน Sanrio ใจน่ารัก,0.1,7.8,https://shopee.co.th/product/1500815207/47511282041,https://s.shopee.co.th/903is2s3eL,78,32,78,32,<100,1,Budget,5,Good,4,3.05
19/07/2026 11:35,28855923143,Printer wifi เครื่องปริ้นพกพา ปริ้นเตอร์ สติ๊กเกอร์  พิมพ์สติกเกอร์ เทป เครื่องปริ้นสติ๊กเกอร์ ปริ้นรูป กระดาษปริ้น,BTS-Mall,0.11,6.05,https://shopee.co.th/product/1284491234/28855923143,https://s.shopee.co.th/8pkIfjsgzK,55,7พัน+,55,7000,5K-9K,5,Budget,5,Good,4,4.65
19/07/2026 11:35,45555064079,กล่องแยกเหรียญ กล่อง3ช่องแยกเหรียญ อุปกรณ์ออมเงิน,รักออม,0.1,7.9,https://shopee.co.th/product/67531827/45555064079,https://s.shopee.co.th/8fQsTQtKKJ,79,798,79,798,500-999,3,Budget,5,Good,4,3.85
19/07/2026 11:35,48210863428,แผ่นรองเมาส์ซิลิโคน แผ่นรองเมาส์รองข้อมือ แผ่นรองเมาส์การ์ตูนน่ารัก 3Dกันลื่น ลดอาการปวดเมื่อยข้อมือ ออฟฟิศ/หอพัก,Marialinson,0.08,8.4,https://shopee.co.th/product/593963732/48210863428,https://s.shopee.co.th/8V7SH7txfI,105,94,105,94,<100,1,Low,4,Normal,2,2.1
19/07/2026 11:35,46457560193,คีย์แคป DIY Super Mario น่ารัก สำหรับคีย์บอร์ดกลไก แต่งโต๊ะเกมมิ่งสวยงาม ของขวัญสุดพิเศษ,ร้าน Sanrio ใจน่ารัก,0.17,10.37,https://shopee.co.th/product/1500815207/46457560193,https://s.shopee.co.th/8Ko24oub0H,61,310,61,310,100-499,2,Budget,5,Excellent,5,3.8
19/07/2026 11:35,5955071937,✨ หมึกเติม ปรินเตอร์ แคนนอน GI-790  💎น้ำหมึกเทียบเท่าเกรดพรีเมี่ยม   for  G2010/G3010   หมึกปริ้น หมึกเครื่องปริ้น,ตี๋น้อย ไอ.ที.2020,0.12,5.16,https://shopee.co.th/product/315713905/5955071937,https://s.shopee.co.th/8AUbsVvELG,43,90พัน+,43,90000,50K+,8,Budget,5,Good,4,5.85
19/07/2026 11:35,41305306004,【พร้อมส่ง】DJI Power1000 MINI Portable Power Station 1000W/1008Wh แบตเตอรี่สำรองไฟ 220V LFP (LiFePO4) แบตเตอรี่,MPPT ,0.1,1790,https://shopee.co.th/product/915240209/41305306004,https://s.shopee.co.th/80BBgCvrgF,17.9พัน,13,17900,13,<100,1,High-End,1,Good,4,2.05
19/07/2026 11:35,52910901570,แผ่นรองโต๊ะหนัง PU กันน้ำ แผ่นรองเมาส์กันลื่น ขนาดใหญ่ ลื่นนุ่ม ทำความสะอาดง่าย สำหรับโต๊ะทำงานและโต๊ะคอม ✨,OK168,0.09,7.92,https://shopee.co.th/product/304370748/52910901570,https://s.shopee.co.th/AUsWenmLbk,88,91,88,91,<100,1,Budget,5,Normal,2,2.35
19/07/2026 11:35,27780148551,🔥Sanrio คีย์แคปแมวน่ารัก OEM โปร่งแสง ABS สำหรับคีย์บอร์ดกลไก อุปกรณ์เกมมิ่งทนทาน แบบกำหนดเอง,ร้าน Sanrio ใจน่ารัก,0.17,1.87,https://shopee.co.th/product/1500815207/27780148551,https://s.shopee.co.th/AKZ6SUmywj,11,9พัน+,11,9000,5K-9K,5,Budget,5,Excellent,5,5
